country_code;year;value
LSO;2015;8000.0
LBR;2015;2400.0
LBY;2015;100.0
LTU;2015;100.0
LUX;2015;100.0
MDG;2015;1400.0
MWI;2015;21000.0
MYS;2015;2700.0
MDV;2015;
MLI;2015;5600.0
MLT;2015;
MHL;2015;
MRT;2015;560.0
MUS;2015;
MEX;2015;6500.0
FSM;2015;
MCO;2015;
MNG;2015;100.0
MNE;2015;100.0
MAR;2015;700.0
MOZ;2015;
MMR;2015;10000.0
NAM;2015;3100.0
NRU;2015;
NPL;2015;920.0
NLD;2015;100.0
NZL;2015;100.0
NIC;2015;500.0
NER;2015;1700.0
NGA;2015;60000.0
NIU;2015;
MKD;2015;
NOR;2015;100.0
OMN;2015;100.0
PAK;2015;5200.0
PLW;2015;
PAN;2015;
PNG;2015;540.0
PRY;2015;500.0
PER;2015;1300.0
PHL;2015;510.0
POL;2015;
PRT;2015;500.0
QAT;2015;100.0
KOR;2015;
MDA;2015;610.0
ROU;2015;500.0
RUS;2015;
RWA;2015;3800.0
KNA;2015;
LCA;2015;
VCT;2015;
WSM;2015;
SMR;2015;
STP;2015;
SAU;2015;
SEN;2015;2200.0
SRB;2015;100.0
SYC;2015;
SLE;2015;4600.0
SGP;2015;100.0
SVK;2015;100.0
SVN;2015;
SLB;2015;
SOM;2015;750.0
ZAF;2015;86000.0
SSD;2015;9400.0
ESP;2015;920.0
LKA;2015;500.0
SDN;2015;2600.0
SUR;2015;200.0
SWE;2015;
CHE;2015;200.0
SYR;2015;100.0
TJK;2015;500.0
THA;2015;17000.0
GBR;2015;
TLS;2015;100.0
TGO;2015;4800.0
TON;2015;
TTO;2015;500.0
TUN;2015;200.0
TUR;2015;
TKM;2015;
TUV;2015;
UGA;2015;30000.0
